"one_16x6","twelve_3x3"
0.3589354,0.3134865
0.1197063,0.1801369
0.3741218,0.2193779
0.4866983,0.3190059
0.1892777,0.4158403
0.2022419,0.2840962
0.2853068,0.3004187
0.2024554,0.3309088
0.2911089,0.2917792
0.1006194,0.4642885
0.1907176,0.3231856
NA,0.3142308
0.3563687,0.1489064
0.423006,0.2848874
0.0974863,0.1846998
0.3255322,0.1897055
NA,0.169972
0.3106461,0.3135759
0.2463277,0.2327012
0.2646833,0.282866
NA,0.2515134
0.3904068,0.324079
0.1157884,0.1853774
0.1925557,0.1247847
0.2175227,0.4111654
0.2109756,0.59775
NA,0.236476
0.2134115,0.4067137
0.3219689,0.2892707
NA,0.2779594
0.4186862,0.3112986
0.076188,0.1301564
0.2676524,0.1983364
0.2966157,0.2687292
0.2859141,0.4439087
0.3127121,0.333624
0.314133,0.2471349
0.3804014,0.2474715
0.0951768,0.3310795
0.2615122,0.3347159
0.295539,0.1625636
0.2826534,0.2478843
0.0847775,0.2653172
0.2970759,0.3579793
0.2137207,0.2829381
0.6759163,0.4991595
0.210882,0.2480917
0.3759774,0.3079265
0.2591473,0.325862
0.3798116,0.2582033
0.413548,0.2478551
0.3715125,0.2709067
0.5056581,0.3402414
0.0703072,0.2767489
0.5226971,0.29045
0.1154467,0.2564275
NA,0.2070687
0.3442037,0.1985539
0.1705348,0.1848742
0.260777,0.3281857
0.2083245,0.2322784
0.3408855,0.3154926
0.4944721,0.2434296
0.3795468,0.401294
0.3833719,0.2897736
0.2764955,0.239967
NA,0.2594932
NA,0.1924116
0.3054312,0.3286306
0.2273892,0.2673381
0.3889305,0.1818411
0.1186381,0.2350003
0.298484,0.4237304
0.3145881,0.2381393
0.1934395,0.3448962
NA,0.1899216
0.1775265,0.3480358
0.4216289,0.3504121
0.3846591,0.2798721
0.2067098,0.2972572
0.4808622,0.1976291
0.2778394,0.2486403
0.3807356,0.3125993
0.4383521,0.1949589
0.3990163,0.2835504
0.2920053,0.1777219
NA,0.2564074
0.2173887,0.3338911
0.2618622,0.2407228
0.1969844,0.2991264
0.4029914,0.2953369
0.0946681,0.3090814
0.2092538,0.2942471
0.2859098,0.2936625
0.3143342,0.2394905
0.3388636,0.2467536
0.337144,0.1975195
0.4866769,0.3910838
0.3272373,0.2399698
0.1936124,0.2085292
0.2787083,0.5198653
0.1219856,0.2568489
0.1778873,0.2689385
0.3875728,0.2467965
0.2986133,0.3019032
0.2707145,0.2411052
0.0731435,0.2757412
0.4135644,0.3247219
0.3758752,0.2990731
0.2869862,0.3460137
NA,0.2502404
0.3398699,0.2945297
0.2394099,0.2338265
0.2850342,0.3105309
0.3024139,0.2982897
0.3310617,0.2372622
0.1860469,0.1805741
0.0984148,0.3127484
0.1947791,0.2227051
0.3096258,0.295698
0.4725966,0.2132662
0.3698664,0.3128783
0.3384577,0.2784035
NA,0.1309447
0.4002354,0.3038089
0.153715,0.2538305
0.3687969,0.2264606
0.1740513,0.2443981
0.288777,0.2472988
0.4193754,0.3617714
0.2984623,0.2065431
NA,0.1923452
0.3264972,0.2041899
0.3039655,0.3489997
0.2958254,0.3057968
0.4033091,0.2215508
0.3579503,0.3383001
0.3693098,0.2913541
0.2096621,0.3225398
0.2545882,0.1213323
0.3659598,0.2426564
0.1438746,0.0656042
0.4885292,0.3401507
0.3058155,0.4070821
0.2002849,0.312256
NA,0.1460346
0.3214483,0.2049755
0.1867917,0.3331843
0.3298029,0.2259743
0.3423655,0.2426619
0.104247,0.2507573
